[INFO]2022-04-15 20:23:34,011|views|PID:18976 TID:21200| Getting posts from db
[INFO]2022-04-15 20:27:30,701|views|PID:18976 TID:22992| Getting posts from db
[INFO]2022-04-15 20:27:39,164|views|PID:18976 TID:16956| Getting posts from db
[INFO]2022-04-15 20:29:27,199|views|PID:18976 TID:21960| Getting posts from db
[INFO]2022-04-15 20:29:29,651|views|PID:18976 TID:22992| Getting posts from db
[INFO]2022-04-15 20:29:30,022|views|PID:18976 TID:18672| Getting posts from db
[INFO]2022-04-15 20:39:24,197|views|PID:18976 TID:9080| Getting posts from db
[INFO]2022-04-15 20:44:11,332|views|PID:5956 TID:18512| Getting posts from db
[INFO]2022-04-16 09:38:04,682|views|PID:10696 TID:7564| Getting posts from db
[INFO]2022-04-16 10:47:26,322|views|PID:10696 TID:16208| Getting posts from db
[INFO]2022-04-16 11:51:16,135|views|PID:4536 TID:15868| Getting posts from db
[INFO]2022-04-16 11:55:01,454|views|PID:8080 TID:13608| Getting posts from db
[INFO]2022-04-16 11:58:11,824|views|PID:8080 TID:19564| Getting posts from db
[INFO]2022-04-16 11:59:13,278|views|PID:8080 TID:2444| Getting posts from db
[INFO]2022-04-16 11:59:29,870|views|PID:8080 TID:2444| Getting posts from db
[INFO]2022-04-16 11:59:33,117|views|PID:8080 TID:2444| Getting posts from db
[INFO]2022-04-16 11:59:36,718|views|PID:8080 TID:2444| Getting posts from db
[INFO]2022-04-16 12:32:03,198|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:32:33,652|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:04,622|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:06,341|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:08,923|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:10,491|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:12,027|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:13,611|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:14,893|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:16,204|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:17,748|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:19,412|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-16 12:36:21,011|views|PID:7152 TID:12376| Getting posts from db
[INFO]2022-04-18 09:01:23,259|views|PID:18556 TID:4140| Getting posts from db
[INFO]2022-04-18 09:01:34,232|views|PID:18556 TID:4140| Getting posts from db
[INFO]2022-04-18 09:10:52,545|views|PID:18556 TID:24240| Getting posts from db
[INFO]2022-04-18 09:52:13,606|views|PID:7204 TID:2420| UserName: sentikov123@mail.ru UserIP: 127.0.0.1 | Path: / | Getting posts from db
[INFO]2022-04-18 09:52:16,717|views|PID:7204 TID:2420| UserName: sentikov123@mail.ru UserIP: 127.0.0.1 | Path: / | Getting posts from db
[INFO]2022-04-18 09:52:34,823|views|PID:7204 TID:2420| UserName: sentikov123@mail.ru UserIP: 127.0.0.1 | Path: / | Getting posts from db
